Date,MSCI USA Prime Value Index
2017-07-10,7602.347657
2017-07-11,7591.145857
2017-07-12,7629.511521
2017-07-13,7657.677175
2017-07-14,7687.196065
2017-07-17,7689.216883
2017-07-18,7670.236889
2017-07-19,7698.188199
2017-07-20,7690.573829
2017-07-21,7690.202491
2017-07-24,7693.990937
2017-07-25,7734.506508
2017-07-26,7702.405644
2017-07-27,7680.316493
2017-07-28,7694.913069
2017-07-31,7713.433897
2017-08-01,7738.279156
2017-08-02,7756.851776
2017-08-03,7752.562035
2017-08-04,7754.736255
2017-08-07,7763.779871
2017-08-08,7759.026941
2017-08-09,7767.160184
2017-08-10,7654.807384
2017-08-11,7652.747932
2017-08-14,7718.029752
2017-08-15,7706.870292
2017-08-16,7715.390715
2017-08-17,7597.738433
2017-08-18,7570.813887
2017-08-21,7584.246599
2017-08-22,7658.100042
2017-08-23,7636.809434
2017-08-24,7605.745691
2017-08-25,7635.707694
2017-08-28,7631.523869
2017-08-29,7637.41783
2017-08-30,7676.271478
2017-08-31,7718.831559
2017-09-01,7746.469246
2017-09-04,7746.469246
2017-09-05,7671.727559
2017-09-06,7711.900828
2017-09-07,7684.25136
2017-09-08,7686.590282
2017-09-11,7773.338661
2017-09-12,7819.46
2017-09-13,7827.960416
2017-09-14,7809.51605
2017-09-15,7825.847811
2017-09-18,7832.193343
2017-09-19,7827.999512
2017-09-20,7838.678095
2017-09-21,7817.700201
2017-09-22,7833.339441
2017-09-25,7844.530275
2017-09-26,7860.688301
2017-09-27,7899.099242
2017-09-28,7894.644246
2017-09-29,7915.51933
2017-10-02,7964.516281
2017-10-03,7984.388806
2017-10-04,7981.486478
2017-10-05,8013.445442
2017-10-06,7973.200093
2017-10-09,7950.145588
2017-10-10,7972.644679
2017-10-11,7977.202404
2017-10-12,7953.67653
2017-10-13,7958.205301
2017-10-16,7956.87985
2017-10-17,7968.021839
2017-10-18,7998.926014
2017-10-19,8020.716615
2017-10-20,8083.738317
2017-10-23,8080.237941
2017-10-24,8096.224291
2017-10-25,8069.4357
2017-10-26,8079.960431
2017-10-27,8090.478967
2017-10-30,8056.033713
2017-10-31,8051.085452
2017-11-01,8081.382793
2017-11-02,8093.60574
2017-11-03,8112.562208
2017-11-06,8112.568922
2017-11-07,8120.513076
2017-11-08,8119.669618
2017-11-09,8097.099052
2017-11-10,8098.162222
2017-11-13,8103.533713
2017-11-14,8085.358394
2017-11-15,8038.26859
2017-11-16,8133.068034
2017-11-17,8120.265555
2017-11-20,8134.152828
2017-11-21,8176.87543
2017-11-22,8175.757714
2017-11-23,8175.757714
2017-11-24,8171.057064
2017-11-27,8162.86693
2017-11-28,8271.451298
2017-11-29,8347.109265
2017-11-30,8434.325234
2017-12-01,8426.03512
2017-12-04,8474.395772
2017-12-05,8411.535985
2017-12-06,8389.771837
2017-12-07,8401.176614
2017-12-08,8464.400852
2017-12-11,8492.597091
2017-12-12,8504.317018
2017-12-13,8484.254274
