Date,MSCI USA Value Exposure Select Index
2011-04-26,2387.974441
2011-04-27,2404.212576
2011-04-28,2411.135514
2011-04-29,2412.499335
2011-05-02,2408.790991
2011-05-03,2391.528402
2011-05-04,2378.233114
2011-05-05,2359.267333
2011-05-06,2371.082132
2011-05-09,2384.353951
2011-05-10,2404.672731
2011-05-11,2380.366892
2011-05-12,2391.320386
2011-05-13,2375.356542
2011-05-16,2364.402516
2011-05-17,2356.654835
2011-05-18,2381.194368
2011-05-19,2382.589463
2011-05-20,2362.789471
2011-05-23,2333.375402
2011-05-24,2331.24747
2011-05-25,2335.811396
2011-05-26,2347.136679
2011-05-27,2363.285851
2011-05-30,2363.285851
2011-05-31,2387.698682
2011-06-01,2331.709912
2011-06-02,2327.259548
2011-06-03,2303.746063
2011-06-06,2280.91053
2011-06-07,2281.445213
2011-06-08,2272.207909
2011-06-09,2290.107689
2011-06-10,2257.534488
2011-06-13,2261.145904
2011-06-14,2289.266807
2011-06-15,2245.714467
2011-06-16,2254.344319
2011-06-17,2261.51547
2011-06-20,2276.716035
2011-06-21,2306.978011
2011-06-22,2294.392533
2011-06-23,2286.368699
2011-06-24,2258.493913
2011-06-27,2279.682126
2011-06-28,2310.012499
2011-06-29,2331.209615
2011-06-30,2354.323923
2011-07-01,2385.763355
2011-07-04,2385.763355
2011-07-05,2376.725907
2011-07-06,2372.173062
2011-07-07,2393.473894
2011-07-08,2377.667901
2011-07-11,2330.133951
2011-07-12,2324.162315
2011-07-13,2329.621697
2011-07-14,2313.308604
2011-07-15,2315.858864
2011-07-18,2290.620904
2011-07-19,2324.449353
2011-07-20,2322.974401
2011-07-21,2348.981243
2011-07-22,2350.613773
2011-07-25,2337.47266
2011-07-26,2333.885017
2011-07-27,2282.990155
2011-07-28,2272.552178
2011-07-29,2255.767374
2011-08-01,2245.305654
2011-08-02,2185.850803
2011-08-03,2191.637293
2011-08-04,2084.414186
2011-08-05,2081.817193
2011-08-08,1935.055719
2011-08-09,2028.091031
2011-08-10,1932.66728
2011-08-11,2027.831464
2011-08-12,2032.989559
2011-08-15,2085.083198
2011-08-16,2070.184152
2011-08-17,2068.265876
2011-08-18,1974.125583
2011-08-19,1935.518974
2011-08-22,1933.429924
2011-08-23,1990.403906
2011-08-24,2021.947461
2011-08-25,1987.275371
2011-08-26,2016.424697
2011-08-29,2085.568793
2011-08-30,2089.437262
2011-08-31,2100.398703
2011-09-01,2075.058452
2011-09-02,2016.851219
2011-09-05,2016.851219
2011-09-06,1997.82158
2011-09-07,2062.295815
2011-09-08,2042.247445
2011-09-09,1991.039218
2011-09-12,2005.010478
2011-09-13,2020.530514
2011-09-14,2043.245657
2011-09-15,2082.736816
2011-09-16,2090.910284
2011-09-19,2064.603005
2011-09-20,2056.017086
2011-09-21,1989.441705
2011-09-22,1922.522371
2011-09-23,1931.569669
2011-09-26,1977.241305
2011-09-27,2000.714568
2011-09-28,1959.875216
2011-09-29,1982.576432
2011-09-30,1934.112623
2011-10-03,1874.574782
2011-10-04,1921.211264
2011-10-05,1964.136154
2011-10-06,1998.941092
2011-10-07,1987.07382
2011-10-10,2054.043773
2011-10-11,2053.166729
2011-10-12,2075.55004
2011-10-13,2068.861355
2011-10-14,2100.089425
2011-10-17,2055.011775
2011-10-18,2098.613849
2011-10-19,2082.200966
2011-10-20,2091.163689
2011-10-21,2139.496528
2011-10-24,2169.590704
2011-10-25,2129.224892
2011-10-26,2154.380397
2011-10-27,2225.000079
2011-10-28,2222.344192
2011-10-31,2163.845842
2011-11-01,2102.029998
2011-11-02,2133.437594
2011-11-03,2175.587287
2011-11-04,2164.20168
2011-11-07,2185.363936
2011-11-08,2208.974375
2011-11-09,2125.429267
2011-11-10,2147.142507
2011-11-11,2190.985664
2011-11-14,2170.933597
2011-11-15,2179.49691
2011-11-16,2138.545256
2011-11-17,2104.958427
2011-11-18,2105.913692
2011-11-21,2071.580339
2011-11-22,2057.126036
2011-11-23,2008.00223
2011-11-24,2008.00223
2011-11-25,2003.366314
2011-11-28,2065.525959
2011-11-29,2073.533543
2011-11-30,2163.939024
2011-12-01,2158.602258
2011-12-02,2156.909063
2011-12-05,2181.316408
2011-12-06,2187.890814
2011-12-07,2195.386281
2011-12-08,2142.346561
2011-12-09,2178.149018
2011-12-12,2148.751447
2011-12-13,2133.043674
2011-12-14,2110.395523
2011-12-15,2122.319768
2011-12-16,2125.314433
2011-12-19,2089.843492
2011-12-20,2155.835714
2011-12-21,2166.704902
2011-12-22,2191.494814
2011-12-23,2211.799387
2011-12-26,2211.799387
2011-12-27,2208.349828
2011-12-28,2179.638836
2011-12-29,2203.066154
2011-12-30,2192.57759
2012-01-02,2192.57759
2012-01-03,2232.113738
2012-01-04,2236.068994
2012-01-05,2244.272412
2012-01-06,2241.126923
2012-01-09,2250.780835
2012-01-10,2276.234971
2012-01-11,2282.579421
2012-01-12,2287.830448
2012-01-13,2274.421241
2012-01-16,2274.421241
2012-01-17,2280.965893
2012-01-18,2307.564706
2012-01-19,2317.444783
2012-01-20,2331.827906
2012-01-23,2336.109907
2012-01-24,2329.516513
